"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"111151853";"118601038";111151853;"16-04-2017 17:00:24";"32644";"No Cancelado"
"111151562";"118600523";111151562;"16-04-2017 12:00:18";"24440";"No Cancelado"
"111154412";"118602022";111154412;"16-04-2017 21:01:05";"29750";"No Cancelado"
"111151188";"118600395";111151188;"16-04-2017 08:00:20";"34300";"No Cancelado"
"111153484";"118602078";111153484;"16-04-2017 22:00:23";"21367";"No Cancelado"
"111154162";"118602017";111154162;"16-04-2017 21:01:05";"30997";"No Cancelado"
"111151997";"118600743";111151997;"16-04-2017 14:00:19";"24145";"No Cancelado"
"111153923";"118601575";111153923;"16-04-2017 20:00:16";"32644";"No Cancelado"
"20170416003293811371";"118601579";111153982;"16-04-2017 20:00:17";"21588";"No Cancelado"
"111153975";"118601581";111153975;"16-04-2017 20:00:17";"32644";"No Cancelado"
"111152259";"118600813";111152259;"16-04-2017 15:00:32";"32354";"No Cancelado"
"111152208";"118600820";111152208;"16-04-2017 15:00:32";"34803";"No Cancelado"
"111152501";"118600865";111152501;"16-04-2017 16:00:19";"31499";"No Cancelado"
"20170416003293804762";"118600877";111152439;"16-04-2017 16:00:19";"22593";"No Cancelado"
"111152661";"118600929";111152661;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111151770";"118600673";111151770;"16-04-2017 13:00:47";"32926";"No Cancelado"
"111151714";"118600688";111151714;"16-04-2017 13:00:47";"32644";"No Cancelado"
"111153301";"118602148";111153301;"16-04-2017 22:00:25";"22593";"No Cancelado"
"111152339";"118601006";111152339;"16-04-2017 17:00:23";"32484";"No Cancelado"
"111151671";"118600954";111151671;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152899";"118600970";111152899;"16-04-2017 17:00:21";"27257";"No Cancelado"
"111152948";"118600971";111152948;"16-04-2017 17:00:21";"21367";"No Cancelado"
"111152282";"118600997";111152282;"16-04-2017 17:00:23";"22593";"No Cancelado"
"111153361";"118601374";111153361;"16-04-2017 18:00:25";"24145";"No Cancelado"
"111153364";"118601385";111153364;"16-04-2017 18:00:26";"29750";"No Cancelado"
"111151990";"118601012";111151990;"16-04-2017 17:00:23";"24374";"No Cancelado"
"111151967";"118601013";111151967;"16-04-2017 17:00:23";"32644";"No Cancelado"
"111152808";"118601026";111152808;"16-04-2017 17:00:23";"32484";"No Cancelado"
"111152634";"118601034";111152634;"16-04-2017 17:00:24";"24145";"No Cancelado"
"111153355";"118601377";111153355;"16-04-2017 18:00:25";"24374";"No Cancelado"
"111153716";"118601478";111153716;"16-04-2017 19:00:35";"22593";"No Cancelado"
"111153492";"118602102";111153492;"16-04-2017 22:00:23";"24374";"No Cancelado"
"111153359";"118602176";111153359;"16-04-2017 22:00:25";"22593";"No Cancelado"
"111153423";"118601501";111153423;"16-04-2017 19:00:36";"32926";"No Cancelado"
"111153604";"118602182";111153604;"16-04-2017 22:00:25";"24374";"No Cancelado"
"111152592";"118600881";111152592;"16-04-2017 16:00:20";"34305";"No Cancelado"
"111152683";"118600973";111152683;"16-04-2017 17:00:21";"24145";"No Cancelado"
"111153839";"118601580";111153839;"16-04-2017 20:00:17";"32664";"No Cancelado"
"111153840";"118601593";111153840;"16-04-2017 20:00:17";"24374";"No Cancelado"
"111153476";"118602093";111153476;"16-04-2017 22:00:23";"24549";"No Cancelado"
"111153544";"118601488";111153544;"16-04-2017 19:00:36";"24145";"No Cancelado"
"111153530";"118601500";111153530;"16-04-2017 19:00:36";"32484";"No Cancelado"
"111152765";"118600991";111152765;"16-04-2017 17:00:23";"24374";"No Cancelado"
"111152750";"118600993";111152750;"16-04-2017 17:00:23";"28087";"No Cancelado"
"111151993";"118601001";111151993;"16-04-2017 17:00:23";"32484";"No Cancelado"
"111150862";"118600397";111150862;"16-04-2017 08:00:20";"21615";"No Cancelado"
"111151232";"118600398";111151232;"16-04-2017 08:00:20";"32664";"No Cancelado"
"111151783";"118600679";111151783;"16-04-2017 13:00:47";"22593";"No Cancelado"
"111153733";"118602096";111153733;"16-04-2017 22:00:23";"24440";"No Cancelado"
"111154448";"118602105";111154448;"16-04-2017 22:00:23";"21367";"No Cancelado"
"111153566";"118602144";111153566;"16-04-2017 22:00:25";"24440";"No Cancelado"
"111152955";"118601307";111152955;"16-04-2017 17:01:06";"32437";"No Cancelado"
"111152996";"118601351";111152996;"16-04-2017 18:00:25";"21367";"No Cancelado"
"111152987";"118601364";111152987;"16-04-2017 18:00:25";"32644";"No Cancelado"
"111152877";"118601043";111152877;"16-04-2017 17:00:24";"33118";"No Cancelado"
"111154079";"118602166";111154079;"16-04-2017 22:00:25";"32437";"No Cancelado"
"111154598";"118602157";111154598;"16-04-2017 22:00:25";"34300";"No Cancelado"
"111154363";"118602191";111154363;"16-04-2017 22:00:26";"24440";"No Cancelado"
"111151398";"118600472";111151398;"16-04-2017 10:00:25";"22593";"No Cancelado"
"111151637";"118600525";111151637;"16-04-2017 12:00:18";"24374";"No Cancelado"
"111151979";"118600730";111151979;"16-04-2017 14:00:19";"32354";"No Cancelado"
"111153784";"118602140";111153784;"16-04-2017 22:00:24";"24374";"No Cancelado"
"111153377";"118601379";111153377;"16-04-2017 18:00:25";"28959";"No Cancelado"
"111152476";"118600982";111152476;"16-04-2017 17:00:22";"21367";"No Cancelado"
"111154070";"118602145";111154070;"16-04-2017 22:00:25";"32484";"No Cancelado"
"111153068";"118602154";111153068;"16-04-2017 22:00:25";"24440";"No Cancelado"
"111152284";"118600828";111152284;"16-04-2017 15:00:32";"30175";"No Cancelado"
"111152612";"118600876";111152612;"16-04-2017 16:00:19";"30175";"No Cancelado"
"111154066";"118601574";111154066;"16-04-2017 20:00:16";"29750";"No Cancelado"
"111153905";"118601600";111153905;"16-04-2017 20:00:17";"24440";"No Cancelado"
"111152543";"118600880";111152543;"16-04-2017 16:00:19";"24440";"No Cancelado"
"111152980";"118602117";111152980;"16-04-2017 22:00:23";"24440";"No Cancelado"
"111154573";"118602158";111154573;"16-04-2017 22:00:25";"34160";"No Cancelado"
"111152743";"118600989";111152743;"16-04-2017 17:00:22";"24145";"No Cancelado"
"111152281";"118601000";111152281;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152563";"118601014";111152563;"16-04-2017 17:00:23";"21367";"No Cancelado"
"111152880";"118601035";111152880;"16-04-2017 17:00:24";"32664";"No Cancelado"
"111153186";"118601376";111153186;"16-04-2017 18:00:25";"32926";"No Cancelado"
"111153125";"118601369";111153125;"16-04-2017 18:00:25";"32644";"No Cancelado"
"111153438";"118601491";111153438;"16-04-2017 19:00:36";"34160";"No Cancelado"
"111153543";"118601507";111153543;"16-04-2017 19:00:36";"24145";"No Cancelado"
"111153818";"118601590";111153818;"16-04-2017 20:00:17";"32446";"No Cancelado"
"111153924";"118602087";111153924;"16-04-2017 22:00:23";"32644";"No Cancelado"
"111154181";"118602101";111154181;"16-04-2017 22:00:23";"24440";"No Cancelado"
"111154178";"118602113";111154178;"16-04-2017 22:00:23";"32644";"No Cancelado"
"111153770";"118601604";111153770;"16-04-2017 20:00:17";"34305";"No Cancelado"
